-2.94	0.000607
-2.82	0.000878
-2.7	0.001256
-2.58	0.001664
-2.46	0.002338
-2.34	0.003111
-2.22	0.004006
-2.1	0.005468
-1.98	0.006722
-1.86	0.008668
-1.74	0.010723
-1.62	0.012774
-1.5	0.015425
-1.38	0.018508
-1.26	0.021829
-1.14	0.024904
-1.02	0.028424
-0.9	0.032056
-0.78	0.035564
-0.66	0.038445
-0.54	0.041184
-0.42	0.043844
-0.3	0.045767
-0.18	0.046991
-0.06	0.047841
0.06	0.047787
0.18	0.046584
0.3	0.04612
0.42	0.043638
0.54	0.040886
0.66	0.038555
0.78	0.035219
0.9	0.03219
1.02	0.028402
1.14	0.024954
1.26	0.021759
1.38	0.018438
1.5	0.015642
1.62	0.012844
1.74	0.010654
1.86	0.008506
1.98	0.006879
2.1	0.005319
2.22	0.004103
2.34	0.003071
2.46	0.002319
2.58	0.001671
2.7	0.001245
2.82	0.000935
2.94	0.00062
